frame,time_s,found,x_in,y_in,heading_deg
1019,17.0003,1,14.348,-3.117,-115.80
1020,17.0170,1,14.980,-3.221,-107.33
1021,17.0337,1,15.636,-3.235,-98.58
1022,17.0504,1,16.308,-3.152,-88.99
1023,17.0671,1,16.960,-2.960,-79.79
1024,17.0837,1,17.590,-2.662,-70.00
1025,17.1004,1,18.155,-2.268,-60.44
1026,17.1171,1,18.629,-1.789,-50.79
1027,17.1338,1,18.996,-1.262,-41.77
1028,17.1505,1,19.239,-0.732,-33.40
1029,17.1671,1,19.397,-0.250,-25.90
1030,17.1838,1,19.496,0.202,-19.51
1031,17.2005,1,19.514,0.616,-13.60
1032,17.2172,1,19.489,1.021,-7.76
1033,17.2339,1,19.441,1.392,-2.18
1034,17.2506,1,19.343,1.742,3.00
1035,17.2673,1,19.226,2.058,7.97
1036,17.2839,1,19.081,2.354,12.61
1037,17.3006,1,18.928,2.612,17.36
1038,17.3173,1,18.755,2.853,21.69
1039,17.3340,1,18.577,3.062,25.93
1040,17.3507,1,18.401,3.246,29.84
1041,17.3674,1,18.222,3.402,33.41
1042,17.3840,1,18.106,3.501,36.07
1043,17.4007,1,18.025,3.551,37.72
1044,17.4174,1,18.003,3.552,38.04
1045,17.4341,1,18.028,3.511,37.60
1046,17.4508,1,18.091,3.443,36.32
1047,17.4674,1,18.191,3.351,34.33
1048,17.4841,1,18.313,3.233,31.85
1049,17.5008,1,18.452,3.078,28.90
1050,17.5175,1,18.594,2.900,25.59
1051,17.5342,1,18.745,2.686,21.77
