frame,time_s,found,x_in,y_in,heading_deg
872,14.5479,1,-7.354,1.930,-140.31
873,14.5646,1,-7.160,2.234,-141.43
874,14.5812,1,-6.965,2.542,-142.54
875,14.5979,1,-6.760,2.834,-143.28
876,14.6146,1,-6.545,3.118,-144.04
877,14.6313,1,-6.309,3.390,-144.48
878,14.6480,1,-6.054,3.656,-144.92
879,14.6646,1,-5.794,3.907,-145.16
880,14.6813,1,-5.516,4.151,-145.29
881,14.6980,1,-5.241,4.385,-145.46
882,14.7147,1,-4.951,4.611,-145.64
883,14.7314,1,-4.663,4.828,-145.61
884,14.7481,1,-4.372,5.050,-145.68
885,14.7648,1,-4.070,5.269,-145.62
886,14.7814,1,-3.776,5.480,-145.55
887,14.7981,1,-3.478,5.692,-145.55
888,14.8148,1,-3.175,5.900,-145.53
889,14.8315,1,-2.871,6.112,-145.62
890,14.8482,1,-2.566,6.322,-145.49
891,14.8649,1,-2.263,6.527,-145.34
892,14.8815,1,-1.958,6.727,-145.31
893,14.8982,1,-1.650,6.946,-145.23
894,14.9149,1,-1.347,7.166,-145.37
895,14.9316,1,-1.042,7.386,-145.26
896,14.9483,1,-0.740,7.609,-145.16
897,14.9649,1,-0.439,7.825,-145.01
898,14.9816,1,-0.138,8.048,-145.07
899,14.9983,1,0.167,8.264,-144.77
900,15.0150,1,0.469,8.484,-144.86
901,15.0317,1,0.778,8.700,-144.87
902,15.0484,1,1.081,8.913,-144.70
903,15.0650,1,1.389,9.134,-144.68
904,15.0817,1,1.691,9.347,-144.50
905,15.0984,1,1.995,9.568,-144.39
